,match_id,player_id,goal_type,created_at,updated_at
201,2020-10-24 Paris,K. Mbappé Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
202,2020-10-24 Paris,K. Mbappé Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
203,2020-10-25 Montpellier,B. Dia Reims,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
204,2020-10-25 Montpellier,B. Dia Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
205,2020-10-25 Montpellier,N. Mbuku Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
206,2020-10-25 Montpellier,B. Dia Reims,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
207,2020-10-25 Metz,F. Boulaya Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
208,2020-10-25 Metz,N. Sissoko Metz,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
209,2020-10-25 Bordeaux,J. Briand Bordeaux,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
210,2020-10-25 Bordeaux,R. Oudin Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
211,2020-10-25 Brest,H. Diallo Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
212,2020-10-25 Brest,K. Lala Strasbourg,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
213,2020-10-25 Brest,L. Ajorque Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
214,2020-10-25 Nice,K. Dolberg Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
215,2020-10-25 Nice,B. Yilmaz Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
216,2020-10-25 Lyon,M. Depay Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
217,2020-10-25 Lyon,K. Toko Ekambi Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
218,2020-10-25 Lyon,H. Aouar Lyon,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
219,2020-10-25 Lyon,K. Toko Ekambi Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
220,2020-10-25 Lyon,W. Ben Yedder Monaco,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
221,2020-11-25 Lens,G. Kakuta Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
222,2020-11-25 Lens,A. Touré Nantes,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
223,2020-10-31 Rennes,D. Da Silva Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
224,2020-10-31 Rennes,N. Aguerd Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
225,2020-10-31 Rennes,F. Honorat Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
226,2020-10-31 Nantes,A. Herrera Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
227,2020-10-31 Nantes,K. Mbappé Paris,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
228,2020-10-31 Nantes,P. Sarabia Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
229,2020-11-01 Saint-Étienne,S. Mavididi Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
230,2020-11-01 Angers,R. Lopes Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
231,2020-11-01 Angers,P. Lees-Melou Nice,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
232,2020-11-01 Angers,H. Boudaoui Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
233,2020-11-01 Nîmes,M. Gueye Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
234,2020-11-01 Reims,B. Kamara Reims,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
235,2020-11-01 Reims,W. Faes Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
236,2020-11-01 Reims,L. Ajorque Strasbourg,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
237,2020-11-01 Monaco,W. Ben Yedder Monaco,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
238,2020-11-01 Monaco,G. Martins Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
239,2020-11-01 Monaco,K. Volland Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
240,2020-11-01 Monaco,K. Volland Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
241,2020-11-01 Lille,J. Bamba Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
242,2020-11-01 Lille,M. Çelik Lyon,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
243,2021-01-20 Marseille,S. Banza Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
